datum;typ;kalla;tjanst/prisrad;pris;enhet;moms_rut;url;notering
2026-08-27;konkurrent;Natverkstekniker Stockholm;Privat IT- och natverkssupport;575;kr/timme;efter 50% RUT;https://www.natverkstekniker.se/;Hem-/platsbesok, privatkund.
2026-08-27;konkurrent;Natverkstekniker Stockholm;Foretag natverkstekniker;920;kr/timme;exkl. moms;https://www.natverkstekniker.se/;Storre jobb offereras fran cirka en arbetsdag.
2026-08-27;konkurrent;Min Datorsupport;Privat hembesok;800;kr/timme;efter RUT;https://www.mindatorsupport.se/priser/privatpersoner/;Pensionarspris 498 kr/timme efter RUT.
2026-08-27;konkurrent;Min Datorsupport;Foretag IT-support/drift;1280;kr/timme;exkl. moms;https://www.mindatorsupport.se/priser/foretag/;Normal foretagssupport.
2026-08-27;konkurrent;Min Datorsupport;Foretag fjarrsupport;640;kr/30 min;exkl. moms;https://www.mindatorsupport.se/priser/foretag/;Fjarrsupport debiteras per halvtimme.
2026-08-27;konkurrent;Min Datorsupport;Foretag natverk/Wi-Fi;1280;kr/timme;exkl. moms;https://www.mindatorsupport.se/priser/foretag/;Separat kablagepris 920 kr/timme.
2026-08-27;konkurrent;Min Datorsupport;Supportavtal Bronze;270;kr/enhet/manad;exkl. moms;https://www.mindatorsupport.se/supportavtal/;12 manaders avtal.
2026-08-27;konkurrent;Min Datorsupport;Supportavtal Silver;401;kr/enhet/manad;exkl. moms;https://www.mindatorsupport.se/supportavtal/;12 manaders avtal.
2026-08-27;konkurrent;Min Datorsupport;Supportavtal Gold;494;kr/enhet/manad;exkl. moms;https://www.mindatorsupport.se/supportavtal/;12 manaders avtal.
2026-08-27;konkurrent;Datorhjalp Hemma;Datorhjalp hemma i Stockholm;680;kr/timme;inkl. moms efter RUT;https://datorhjalphemma.se/;Minst 1 timme, resa ingar i stora delar av Stockholm enligt sidan.
2026-08-27;konkurrent;Smartify;Privat teknikhjalp hemma forsta 45 min;699;kr;efter RUT;https://www.smartify.se/tjanster;Darefter 129 kr per 15 min.
2026-08-27;konkurrent;Smartify;Privat teknikhjalp innan RUT;1303;kr;inkl. moms fore RUT;https://www.smartify.se/tjanster;Referens for bruttopris.
2026-08-27;konkurrent;Smartify;Foretag support;899;kr/timme;fran, exkl. moms;https://www.smartify.se/tjanster;B2B startniva.
2026-08-27;konkurrent;Smartify;Naverksfelsokning hemma;699;kr;efter RUT;https://www.smartify.se/;Fast prisindikation enligt tjanstekatalog.
2026-08-27;konkurrent;Smartify;Mesh-installation hemma;799;kr;efter RUT;https://www.smartify.se/;Fast prisindikation enligt tjanstekatalog.
2026-08-27;konkurrent;Smartify;Routerinstallation hemma;799;kr;efter RUT;https://www.smartify.se/;Fast prisindikation enligt tjanstekatalog.
2026-08-27;konkurrent;Smartify;Datorinstallation hemma;1359;kr;efter RUT;https://www.smartify.se/;Fast prisindikation enligt tjanstekatalog.
2026-08-27;konkurrent;Hemfixarna;Routerinstallation;699;kr;efter RUT;https://hemfixarna.se/tjanster/teknikhjalp/natverk-och-routers/;Fast pris.
2026-08-27;konkurrent;Hemfixarna;Router + Wi-Fi-optimering;1099;kr;efter RUT;https://hemfixarna.se/tjanster/teknikhjalp/natverk-och-routers/;Fast pris.
2026-08-27;konkurrent;Hemfixarna;Mesh-installation;1399;kr;efter RUT;https://hemfixarna.se/tjanster/teknikhjalp/natverk-och-routers/;Fast pris.
2026-08-27;konkurrent;Hemfixarna;Wi-Fi-optimering;699;kr;efter RUT;https://hemfixarna.se/tjanster/teknikhjalp/natverk-och-routers/;Fast pris.
2026-08-27;konkurrent;Hemfixarna;Installation av dator;699;kr;efter RUT;https://hemfixarna.se/tjanster/teknikhjalp/dator-och-skrivare/installation-av-dator/;Scope inkluderar bland annat konto, e-post, skrivare och filflytt enligt sidan.
2026-08-27;konkurrent;TechBuddy;Hembesok;599;kr/timme;fran, efter RUT;https://www.techbuddy.se/;Stockholmspris enligt startsidan.
2026-08-27;konkurrent;TechBuddy;Fjarrsupport;299;kr/30 min;inkl. moms, ej RUT antaget;https://www.techbuddy.se/;RUT ska inte antas for fjarr enligt Skatteverket.
2026-08-27;konkurrent;Installexpress;Ny dator startklar;525;kr;efter RUT;https://installexpress.se/;Fast pris.
2026-08-27;konkurrent;Installexpress;Dataoverforing;525;kr;efter RUT;https://installexpress.se/;Fast pris.
2026-08-27;konkurrent;Installexpress;E-post/konton;250;kr;efter RUT;https://installexpress.se/;Fast pris.
2026-08-27;konkurrent;Installexpress;Router/Wi-Fi;450;kr;efter RUT;https://installexpress.se/;Fast pris.
2026-08-27;konkurrent;Installexpress;Mesh upp till 3 enheter;525;kr;efter RUT;https://installexpress.se/;Fast pris.
2026-08-27;konkurrent;Installexpress;Wi-Fi-felsokning;425;kr;efter RUT;https://installexpress.se/;Fast pris.
